stock_code,trade_date,foreign_net,foreign_dealer_net,trust_net,dealer_net,total_net
00403A,2026-09-07,112008796,0,0,135640339,247649135
00685L,2026-09-07,-1896965,0,0,187919465,186022500
2409,2026-09-07,156579623,0,3873,21239157,177822653
00631L,2026-09-07,8062512,0,0,152269261,160331773
6770,2026-09-07,112644189,0,7427000,6002433,126073622
00981A,2026-09-07,55753719,0,0,33916681,89670400
0050,2026-09-07,43969936,0,2700000,10531452,57201388
2303,2026-09-07,38568009,0,14860005,-848961,52579053
2344,2026-09-07,47386632,0,-1340001,3928430,49975061
3481,2026-09-07,44175133,0,-37714,3761839,47899258
00405A,2026-09-07,6924400,0,0,35580732,42505132
00991A,2026-09-07,18340613,0,0,20550670,38891283
00407A,2026-09-07,1194373,0,0,26698492,27892865
00400A,2026-09-07,14895065,0,0,10929500,25824565
00406A,2026-09-07,19936100,0,0,4596272,24532372
00891,2026-09-07,10452819,0,0,12299064,22751883
3711,2026-09-07,18355617,0,-510015,673419,18519021
2330,2026-09-07,16135314,0,-367588,720108,16487834
00878,2026-09-07,1153727,0,0,15161674,16315401
00881,2026-09-07,7029426,0,0,9016607,16046033
2408,2026-09-07,13693266,0,362710,610286,14666262
0052,2026-09-07,4764078,0,0,9669194,14433272
4958,2026-09-07,9974569,0,2722203,475301,13172073
00982A,2026-09-07,1127500,0,2774000,9200966,13102466
00927,2026-09-07,5098120,0,0,7675870,12773990
00988A,2026-09-07,5167936,0,0,5965000,11132936
3006,2026-09-07,9409456,0,-1000,274765,9683221
00935,2026-09-07,5274300,0,-98000,4246085,9422385
2449,2026-09-07,6996163,0,1560575,314947,8871685
1326,2026-09-07,8559103,0,-8000,258514,8809617
2492,2026-09-07,8312240,0,-4000,354278,8662518
2337,2026-09-07,7691316,0,-6000,882263,8567579
9105,2026-09-07,8152800,0,0,134231,8287031
2886,2026-09-07,6344973,0,1207840,271781,7824594
2327,2026-09-07,6448279,0,-116246,947566,7279599
1802,2026-09-07,5993804,0,113000,291188,6397992
2436,2026-09-07,5950205,0,0,135449,6085654
5876,2026-09-07,4823815,0,1059000,50626,5933441
1301,2026-09-07,4911152,0,-10000,579973,5481125
2845,2026-09-07,5219336,0,-10000,238218,5447554
2892,2026-09-07,-1733101,0,6620441,139294,5026634
00404A,2026-09-07,1214000,0,0,3603971,4817971
00947,2026-09-07,1701886,0,0,3091520,4793406
00663L,2026-09-07,1300990,0,0,3401013,4702003
0056,2026-09-07,130946,0,2860000,1601755,4592701
009802,2026-09-07,-2172952,0,0,6706648,4533696
00990A,2026-09-07,2034000,0,0,2324182,4358182
2454,2026-09-07,2913002,0,911729,443554,4268285
00923,2026-09-07,913890,0,0,3247407,4161297
009824,2026-09-07,-19000,0,0,4177992,4158992
00980A,2026-09-07,536000,0,0,3566753,4102753
1303,2026-09-07,-1305492,0,5483000,-83571,4093937
00993A,2026-09-07,891000,0,0,3076690,3967690
5880,2026-09-07,3338139,0,-55000,653721,3936860
2883,2026-09-07,-3641620,0,7322068,176531,3856979
8150,2026-09-07,3203633,0,117000,244971,3565604
2880,2026-09-07,3458094,0,0,85512,3543606
00641R,2026-09-07,0,0,0,3466536,3466536
00997A,2026-09-07,606187,0,0,2813478,3419665
2885,2026-09-07,3640352,0,-44474,-200204,3395674
8021,2026-09-07,3583716,0,-212000,11905,3383621
00922,2026-09-07,874293,0,0,2438856,3313149
00994A,2026-09-07,253000,0,0,3040256,3293256
00940,2026-09-07,8000,0,0,3204426,3212426
00992A,2026-09-07,1224479,0,0,1893535,3118014
00996A,2026-09-07,350000,0,0,2697610,3047610
6116,2026-09-07,2529725,0,0,268709,2798434
2610,2026-09-07,1101916,0,1261000,219582,2582498
2897,2026-09-07,2295521,0,0,44020,2339541
2834,2026-09-07,2080695,0,-26000,231000,2285695
2605,2026-09-07,1961398,0,-3000,318247,2276645
00402A,2026-09-07,-26800,0,0,2264185,2237385
00892,2026-09-07,829030,0,0,1283583,2112613
3037,2026-09-07,1079698,0,360000,646113,2085811
00984A,2026-09-07,113100,0,0,1964961,2078061
2617,2026-09-07,1933431,0,0,61891,1995322
2855,2026-09-07,1951236,0,-15000,0,1936236
00900,2026-09-07,372010,0,0,1466522,1838532
00951,2026-09-07,1066000,0,0,740878,1806878
00735,2026-09-07,1075020,0,0,661409,1736429
00885,2026-09-07,646564,0,0,1078558,1725122
3042,2026-09-07,1512302,0,-40000,225377,1697679
009821,2026-09-07,-6000,0,0,1683085,1677085
009820,2026-09-07,-614517,0,0,2286776,1672259
009804,2026-09-07,205000,0,0,1300680,1505680
6239,2026-09-07,1441177,0,-12392,74265,1503050
00688L,2026-09-07,-155000,0,0,1652712,1497712
00995A,2026-09-07,413000,0,0,1079307,1492307
2489,2026-09-07,1422078,0,-1000,58892,1479970
00715L,2026-09-07,1042000,0,0,375906,1417906
00913,2026-09-07,889000,0,0,464972,1353972
00680L,2026-09-07,155000,0,0,1121251,1276251
006208,2026-09-07,94022,0,0,1141580,1235602
00915,2026-09-07,1026000,0,0,189442,1215442
2412,2026-09-07,959297,0,312,138012,1097621
00675L,2026-09-07,36000,0,0,1037905,1073905
2884,2026-09-07,-8346532,0,8972726,441052,1067246
00904,2026-09-07,135388,0,0,916539,1051927
00905,2026-09-07,49000,0,0,998710,1047710
3034,2026-09-07,994432,0,30441,16391,1041264
00642U,2026-09-07,191870,0,0,844964,1036834
2368,2026-09-07,166760,0,639972,174784,981516
5871,2026-09-07,687574,0,138000,124736,950310
6505,2026-09-07,666879,0,131000,140086,937965
1560,2026-09-07,801026,0,-1000,78000,878026
6531,2026-09-07,792799,0,37364,41523,871686
2371,2026-09-07,725337,0,26000,31129,782466
1513,2026-09-07,801983,0,-63000,42123,781106
00894,2026-09-07,303000,0,0,472421,775421
00954,2026-09-07,321000,0,0,446789,767789
2305,2026-09-07,688702,0,0,33553,722255
009819,2026-09-07,30000,0,0,687422,717422
5608,2026-09-07,695597,0,0,9945,705542
2603,2026-09-07,87305,0,495000,118906,701211
2601,2026-09-07,699407,0,0,0,699407
2455,2026-09-07,128636,0,-19000,581161,690797
9910,2026-09-07,436422,0,187000,53853,677275
2360,2026-09-07,570699,0,31241,64244,666184
2451,2026-09-07,621917,0,31000,12939,665856
2382,2026-09-07,-627210,0,1080154,201467,654411
00909,2026-09-07,72000,0,0,575348,647348
4576,2026-09-07,647642,0,0,-6705,640937
3026,2026-09-07,402943,0,81000,151489,635432
00987A,2026-09-07,93060,0,0,532720,625780
1519,2026-09-07,483735,0,112000,27992,623727
00985A,2026-09-07,-44000,0,0,660055,616055
00408A,2026-09-07,0,0,0,606221,606221
00706L,2026-09-07,-90000,0,0,694598,604598
2615,2026-09-07,553743,0,-56389,102030,599384
2511,2026-09-07,495208,0,0,98000,593208
2838,2026-09-07,528000,0,-15000,69880,582880
00946,2026-09-07,50000,0,0,532162,582162
6133,2026-09-07,566720,0,0,1000,567720
4967,2026-09-07,558381,0,0,3822,562203
00693U,2026-09-07,-15000,0,0,574910,559910
6282,2026-09-07,468638,0,12000,73410,554048
00669R,2026-09-07,0,0,0,544050,544050
8105,2026-09-07,594321,0,0,-82511,511810
2049,2026-09-07,511895,0,-1000,-16150,494745
9958,2026-09-07,217260,0,-1000,272670,488930
6446,2026-09-07,526547,0,-60000,19297,485844
6426,2026-09-07,434919,0,0,32038,466957
3532,2026-09-07,-415320,0,897000,-16337,465343
3702,2026-09-07,-109218,0,473000,81201,444983
6949,2026-09-07,58110,0,0,374000,432110
3024,2026-09-07,433048,0,0,-8000,425048
2329,2026-09-07,420811,0,0,665,421476
3045,2026-09-07,392413,0,-7398,33285,418300
1721,2026-09-07,395000,0,0,18418,413418
6224,2026-09-07,256232,0,0,157020,413252
6672,2026-09-07,401864,0,-2000,13339,413203
7769,2026-09-07,339158,0,60000,6279,405437
6155,2026-09-07,396083,0,0,1000,397083
00850,2026-09-07,-26000,0,-20000,439956,393956
8271,2026-09-07,375890,0,0,14105,389995
4142,2026-09-07,371023,0,0,13598,384621
3149,2026-09-07,480160,0,0,-99014,381146
00936,2026-09-07,-399000,0,0,776973,377973
00934,2026-09-07,-154000,0,0,530005,376005
00738U,2026-09-07,-3719,0,0,371855,368136
2504,2026-09-07,263906,0,58287,32000,354193
2316,2026-09-07,329086,0,0,20935,350021
4770,2026-09-07,305058,0,0,42080,347138
009829,2026-09-07,-721000,0,0,1067779,346779
8028,2026-09-07,-87610,0,370000,48690,331080
3673,2026-09-07,343883,0,0,-15115,328768
00733,2026-09-07,58000,0,0,266812,324812
1310,2026-09-07,300283,0,0,15000,315283
3094,2026-09-07,296600,0,0,15000,311600
2466,2026-09-07,304122,0,0,-2000,302122
2441,2026-09-07,268829,0,11000,17747,297576
2467,2026-09-07,287904,0,-1141,8510,295273
1229,2026-09-07,248000,0,-6000,40535,282535
4746,2026-09-07,282900,0,0,-1056,281844
1210,2026-09-07,264323,0,-4000,18006,278329
00902,2026-09-07,-2000,0,0,272915,270915
00690,2026-09-07,-3025,0,0,270643,267618
00692,2026-09-07,-158988,0,0,416085,257097
6691,2026-09-07,233455,0,0,18660,252115
3450,2026-09-07,394140,0,-1000,-145098,248042
2258,2026-09-07,228000,0,0,18374,246374
8131,2026-09-07,225026,0,0,14606,239632
6108,2026-09-07,235791,0,0,2000,237791
7795,2026-09-07,269200,0,9000,-42985,235215
00893,2026-09-07,1204057,0,0,-970675,233382
1325,2026-09-07,231042,0,0,0,231042
2308,2026-09-07,186882,0,-9759,47910,225033
00999A,2026-09-07,73900,0,0,148236,222136
3515,2026-09-07,243656,0,5000,-28043,220613
2543,2026-09-07,207978,0,-1000,12995,219973
9908,2026-09-07,205000,0,0,13000,218000
00932,2026-09-07,-324000,0,0,538007,214007
009801,2026-09-07,-4000,0,0,214387,210387
00651R,2026-09-07,0,0,0,207816,207816
1789,2026-09-07,182670,0,0,25096,207766
00648R,2026-09-07,0,0,0,206490,206490
2404,2026-09-07,167840,0,33000,-4029,196811
7749,2026-09-07,195000,0,0,628,195628
00898,2026-09-07,152000,0,0,42971,194971
2484,2026-09-07,183892,0,0,10171,194063
6715,2026-09-07,188841,0,0,3865,192706
2375,2026-09-07,131860,0,0,53312,185172
1218,2026-09-07,176093,0,0,9000,185093
6191,2026-09-07,148130,0,30000,6695,184825
6994,2026-09-07,144000,0,0,33810,177810
6944,2026-09-07,161473,0,0,14738,176211
2495,2026-09-07,149149,0,30000,-6000,173149
1503,2026-09-07,177938,0,10000,-14823,173115
00981T,2026-09-07,0,0,0,165408,165408
009808,2026-09-07,1000,0,0,161540,162540
6805,2026-09-07,150973,0,10100,-156,160917
00912,2026-09-07,57000,0,0,102768,159768
009805,2026-09-07,1170000,0,0,-1012174,157826
3305,2026-09-07,151155,0,0,1894,153049
2383,2026-09-07,131003,0,35489,-17252,149240
00901,2026-09-07,-4000,0,0,148891,144891
7799,2026-09-07,147141,0,0,-3000,144141
2369,2026-09-07,103000,0,0,40209,143209
5469,2026-09-07,130012,0,-2000,11845,139857
3229,2026-09-07,140030,0,0,-192,139838
1304,2026-09-07,111810,0,0,22599,134409
4585,2026-09-07,133289,0,0,-455,132834
00639,2026-09-07,10061,0,0,121244,131305
6257,2026-09-07,110829,0,-33258,49930,127501
2612,2026-09-07,87760,0,0,38230,125990
