stock_code,data_date,tier,holders,shares,pct
000218,2026-08-14,1,0,0,0.0
000218,2026-08-14,2,0,0,0.0
000218,2026-08-14,3,0,0,0.0
000218,2026-08-14,4,0,0,0.0
000218,2026-08-14,5,0,0,0.0
000218,2026-08-14,6,0,0,0.0
000218,2026-08-14,7,0,0,0.0
000218,2026-08-14,8,0,0,0.0
000218,2026-08-14,9,0,0,0.0
000218,2026-08-14,10,0,0,0.0
000218,2026-08-14,11,0,0,0.0
000218,2026-08-14,12,0,0,0.0
000218,2026-08-14,13,0,0,0.0
000218,2026-08-14,14,0,0,0.0
000218,2026-08-14,15,1,422278902,100.0
000218,2026-08-14,16,0,0,0.0
000218,2026-08-14,17,1,422278902,100.0
000560,2026-08-14,1,0,0,0.0
000560,2026-08-14,2,0,0,0.0
000560,2026-08-14,3,0,0,0.0
000560,2026-08-14,4,0,0,0.0
000560,2026-08-14,5,0,0,0.0
000560,2026-08-14,6,0,0,0.0
000560,2026-08-14,7,0,0,0.0
000560,2026-08-14,8,0,0,0.0
000560,2026-08-14,9,0,0,0.0
000560,2026-08-14,10,0,0,0.0
000560,2026-08-14,11,0,0,0.0
000560,2026-08-14,12,0,0,0.0
000560,2026-08-14,13,0,0,0.0
000560,2026-08-14,14,0,0,0.0
000560,2026-08-14,15,1,29700000,100.0
000560,2026-08-14,16,0,0,0.0
000560,2026-08-14,17,1,29700000,100.0
000708,2026-08-14,1,0,0,0.0
000708,2026-08-14,2,0,0,0.0
000708,2026-08-14,3,0,0,0.0
000708,2026-08-14,4,0,0,0.0
000708,2026-08-14,5,0,0,0.0
000708,2026-08-14,6,0,0,0.0
000708,2026-08-14,7,0,0,0.0
000708,2026-08-14,8,0,0,0.0
000708,2026-08-14,9,0,0,0.0
000708,2026-08-14,10,0,0,0.0
000708,2026-08-14,11,0,0,0.0
000708,2026-08-14,12,0,0,0.0
000708,2026-08-14,13,0,0,0.0
000708,2026-08-14,14,0,0,0.0
000708,2026-08-14,15,1,20200000,100.0
000708,2026-08-14,16,0,0,0.0
000708,2026-08-14,17,1,20200000,100.0
000779,2026-08-14,1,0,0,0.0
000779,2026-08-14,2,0,0,0.0
000779,2026-08-14,3,0,0,0.0
000779,2026-08-14,4,0,0,0.0
000779,2026-08-14,5,0,0,0.0
000779,2026-08-14,6,0,0,0.0
000779,2026-08-14,7,0,0,0.0
000779,2026-08-14,8,0,0,0.0
000779,2026-08-14,9,0,0,0.0
000779,2026-08-14,10,0,0,0.0
000779,2026-08-14,11,0,0,0.0
000779,2026-08-14,12,0,0,0.0
000779,2026-08-14,13,0,0,0.0
000779,2026-08-14,14,0,0,0.0
000779,2026-08-14,15,1,1150000000,100.0
000779,2026-08-14,16,0,0,0.0
000779,2026-08-14,17,1,1150000000,100.0
000815,2026-08-14,1,0,0,0.0
000815,2026-08-14,2,0,0,0.0
000815,2026-08-14,3,0,0,0.0
000815,2026-08-14,4,0,0,0.0
000815,2026-08-14,5,0,0,0.0
000815,2026-08-14,6,0,0,0.0
000815,2026-08-14,7,0,0,0.0
000815,2026-08-14,8,0,0,0.0
000815,2026-08-14,9,0,0,0.0
000815,2026-08-14,10,0,0,0.0
000815,2026-08-14,11,0,0,0.0
000815,2026-08-14,12,0,0,0.0
000815,2026-08-14,13,0,0,0.0
000815,2026-08-14,14,0,0,0.0
000815,2026-08-14,15,1,2505407068,100.0
000815,2026-08-14,16,0,0,0.0
000815,2026-08-14,17,1,2505407068,100.0
000856,2026-08-14,1,0,0,0.0
000856,2026-08-14,2,0,0,0.0
000856,2026-08-14,3,0,0,0.0
000856,2026-08-14,4,0,0,0.0
000856,2026-08-14,5,0,0,0.0
000856,2026-08-14,6,0,0,0.0
000856,2026-08-14,7,0,0,0.0
000856,2026-08-14,8,0,0,0.0
000856,2026-08-14,9,0,0,0.0
000856,2026-08-14,10,0,0,0.0
000856,2026-08-14,11,0,0,0.0
000856,2026-08-14,12,0,0,0.0
000856,2026-08-14,13,0,0,0.0
000856,2026-08-14,14,0,0,0.0
000856,2026-08-14,15,1,323400000,100.0
000856,2026-08-14,16,0,0,0.0
000856,2026-08-14,17,1,323400000,100.0
00400A,2026-08-14,1,12124,3539620,0.17
00400A,2026-08-14,2,69621,169956276,8.21
00400A,2026-08-14,3,21847,188349238,9.1
00400A,2026-08-14,4,7099,93147505,4.5
00400A,2026-08-14,5,6915,132197740,6.38
00400A,2026-08-14,6,5929,158331663,7.65
00400A,2026-08-14,7,2754,100643261,4.86
00400A,2026-08-14,8,2814,135249555,6.53
00400A,2026-08-14,9,4042,308227772,14.89
00400A,2026-08-14,10,1572,227241124,10.97
00400A,2026-08-14,11,496,141740581,6.84
00400A,2026-08-14,12,105,52108287,2.51
00400A,2026-08-14,13,29,20373799,0.98
00400A,2026-08-14,14,27,24867000,1.2
00400A,2026-08-14,15,55,313666579,15.15
00400A,2026-08-14,16,0,0,0.0
00400A,2026-08-14,17,135429,2069640000,100.0
00401A,2026-08-14,1,1443,357654,0.14
00401A,2026-08-14,2,9926,23993182,10.02
00401A,2026-08-14,3,3026,27185019,11.35
00401A,2026-08-14,4,676,9003295,3.76
00401A,2026-08-14,5,879,17109776,7.14
00401A,2026-08-14,6,632,17458237,7.29
00401A,2026-08-14,7,235,8731708,3.64
00401A,2026-08-14,8,359,17652362,7.37
00401A,2026-08-14,9,410,33337040,13.92
00401A,2026-08-14,10,110,16398903,6.85
00401A,2026-08-14,11,44,13019001,5.43
00401A,2026-08-14,12,7,3536458,1.47
00401A,2026-08-14,13,1,800000,0.33
00401A,2026-08-14,14,3,2797000,1.16
00401A,2026-08-14,15,17,48015365,20.05
00401A,2026-08-14,16,0,0,0.0
00401A,2026-08-14,17,17768,239395000,100.0
00402A,2026-08-14,1,2165,608413,0.08
00402A,2026-08-14,2,26111,67931419,9.5
00402A,2026-08-14,3,9012,80627335,11.28
00402A,2026-08-14,4,2310,30682627,4.29
00402A,2026-08-14,5,2829,55178219,7.72
00402A,2026-08-14,6,2096,57888183,8.1
00402A,2026-08-14,7,688,25558086,3.57
00402A,2026-08-14,8,1121,55284550,7.73
00402A,2026-08-14,9,1213,100627402,14.08
00402A,2026-08-14,10,408,63180509,8.84
00402A,2026-08-14,11,136,40091810,5.61
00402A,2026-08-14,12,63,31722000,4.43
00402A,2026-08-14,13,14,9831370,1.37
00402A,2026-08-14,14,12,11784649,1.64
00402A,2026-08-14,15,18,83630428,11.7
00402A,2026-08-14,16,0,0,0.0
00402A,2026-08-14,17,48196,714627000,100.0
00403A,2026-08-14,1,55857,16907137,0.09
00403A,2026-08-14,2,480182,1246147392,7.01
00403A,2026-08-14,3,179336,1540781466,8.67
00403A,2026-08-14,4,64824,855515971,4.81
00403A,2026-08-14,5,62223,1189980724,6.69
00403A,2026-08-14,6,54353,1452556341,8.17
00403A,2026-08-14,7,25480,934311771,5.25
00403A,2026-08-14,8,23827,1147338569,6.45
00403A,2026-08-14,9,36165,2755865980,15.51
00403A,2026-08-14,10,13886,2008847579,11.3
00403A,2026-08-14,11,4440,1255013025,7.06
00403A,2026-08-14,12,1045,520749140,2.93
00403A,2026-08-14,13,298,211746684,1.19
00403A,2026-08-14,14,241,227935000,1.28
00403A,2026-08-14,15,374,2404428734,13.53
00403A,2026-08-14,16,5,106513,0.0
00403A,2026-08-14,17,1002531,17768019000,100.0
00404A,2026-08-14,1,1070,292259,0.08
00404A,2026-08-14,2,12257,31939808,8.92
00404A,2026-08-14,3,4616,41415910,11.57
00404A,2026-08-14,4,1114,14829426,4.14
00404A,2026-08-14,5,1439,28063691,7.84
00404A,2026-08-14,6,1026,28209200,7.88
00404A,2026-08-14,7,369,13680370,3.82
00404A,2026-08-14,8,570,27963381,7.81
00404A,2026-08-14,9,562,45358699,12.67
00404A,2026-08-14,10,171,25858172,7.22
00404A,2026-08-14,11,42,12424754,3.47
00404A,2026-08-14,12,14,7055000,1.97
00404A,2026-08-14,13,2,1325000,0.37
00404A,2026-08-14,14,3,2975022,0.83
00404A,2026-08-14,15,14,76404308,21.35
00404A,2026-08-14,16,0,0,0.0
00404A,2026-08-14,17,23269,357795000,100.0
00405A,2026-08-14,1,6526,1995573,0.05
00405A,2026-08-14,2,70493,186963210,5.14
00405A,2026-08-14,3,29938,258453494,7.11
00405A,2026-08-14,4,11132,147685021,4.06
00405A,2026-08-14,5,11568,221461211,6.09
00405A,2026-08-14,6,10358,278432361,7.66
00405A,2026-08-14,7,4854,178411259,4.91
00405A,2026-08-14,8,4989,241200655,6.63
00405A,2026-08-14,9,7326,566272260,15.58
00405A,2026-08-14,10,2990,439165148,12.08
00405A,2026-08-14,11,984,277247846,7.63
