stock_code,trade_date,foreign_net,foreign_dealer_net,trust_net,dealer_net,total_net
00403A,2026-08-17,54819870,0,0,155743502,210563372
00981A,2026-08-17,51318291,0,0,81315065,132633356
00685L,2026-08-17,-4900600,0,0,90244185,85343585
00631L,2026-08-17,21675037,0,0,51094863,72769900
00991A,2026-08-17,36601950,0,0,21782243,58384193
2409,2026-08-17,49446837,0,-29161,7524060,56941736
00405A,2026-08-17,12497345,0,0,34381089,46878434
00400A,2026-08-17,13896500,0,0,22575629,36472129
009816,2026-08-17,16130557,0,0,18178365,34308922
00407A,2026-08-17,5820218,0,0,23780020,29600238
2609,2026-08-17,23734968,0,289425,2490013,26514406
2603,2026-08-17,24586239,0,122000,1677933,26386172
2618,2026-08-17,23723624,0,-343373,1382985,24763236
2886,2026-08-17,13834318,0,8108745,193127,22136190
3037,2026-08-17,20705461,0,-331000,107267,20481728
2615,2026-08-17,17941416,0,-3491,1252236,19190161
00992A,2026-08-17,16840700,0,0,1996707,18837407
00988A,2026-08-17,10971000,0,0,7669153,18640153
2892,2026-08-17,2813256,0,15415394,-330162,17898488
00953B,2026-08-17,3019000,0,0,13965056,16984056
2845,2026-08-17,16295128,0,-92000,726000,16929128
2634,2026-08-17,16305744,0,0,386053,16691797
2323,2026-08-17,15130967,0,-30000,1342594,16443561
00999A,2026-08-17,10628850,0,0,5022369,15651219
5880,2026-08-17,2763977,0,12762000,-132305,15393672
3481,2026-08-17,6083832,0,-56278,9018241,15045795
2027,2026-08-17,20769850,0,-6583000,404940,14591790
00990A,2026-08-17,9414000,0,0,3625462,13039462
2408,2026-08-17,11963374,0,-159600,92245,11896019
2324,2026-08-17,10763824,0,-24118,196596,10936302
2880,2026-08-17,7157385,0,3060000,83238,10300623
00637L,2026-08-17,1190000,0,0,8570601,9760601
009821,2026-08-17,7438000,0,0,2255055,9693055
3045,2026-08-17,9678518,0,-877772,-251036,8549710
2426,2026-08-17,8343101,0,0,129415,8472516
00402A,2026-08-17,2372000,0,0,5876699,8248699
00940,2026-08-17,1097600,0,0,6829693,7927293
009820,2026-08-17,0,0,0,7134840,7134840
0050,2026-08-17,5166286,0,-1400000,3082620,6848906
1402,2026-08-17,6225323,0,553615,63758,6842696
2303,2026-08-17,13526431,0,-7729375,843581,6640637
2542,2026-08-17,4125628,0,2421000,49150,6595778
1714,2026-08-17,6158774,0,0,115965,6274739
00997A,2026-08-17,5465000,0,0,704998,6169998
1909,2026-08-17,6050495,0,0,77000,6127495
0052,2026-08-17,4141965,0,-500000,1457258,5099223
2392,2026-08-17,4554037,0,0,481205,5035242
2382,2026-08-17,5525001,0,-568872,37121,4993250
00665L,2026-08-17,874000,0,0,3558751,4432751
2371,2026-08-17,4071050,0,0,327236,4398286
009824,2026-08-17,405000,0,0,3867440,4272440
3711,2026-08-17,9654105,0,-5689540,300365,4264930
00406A,2026-08-17,-596800,0,0,4800263,4203463
3042,2026-08-17,2896693,0,0,984663,3881356
1709,2026-08-17,3780397,0,0,26826,3807223
00927,2026-08-17,2102714,0,0,1661985,3764699
1504,2026-08-17,3562242,0,0,163288,3725530
00993A,2026-08-17,2343217,0,0,1362364,3705581
00994A,2026-08-17,1589100,0,0,1897147,3486247
00404A,2026-08-17,578000,0,0,2860744,3438744
9945,2026-08-17,3211022,0,0,148387,3359409
1802,2026-08-17,2807472,0,0,522679,3330151
3714,2026-08-17,2920645,0,0,65616,2986261
2606,2026-08-17,2355542,0,56000,379357,2790899
00713,2026-08-17,871277,0,0,1913432,2784709
2359,2026-08-17,2611129,0,0,67467,2678596
2330,2026-08-17,4441659,0,-2051006,142081,2532734
2486,2026-08-17,2311235,0,165000,17720,2493955
00996A,2026-08-17,935000,0,0,1521929,2456929
3005,2026-08-17,1789511,0,-17000,651911,2424422
2481,2026-08-17,1284435,0,80000,1034572,2399007
2801,2026-08-17,2454816,0,-196000,100222,2359038
009805,2026-08-17,1668000,0,0,580706,2248706
6116,2026-08-17,1676200,0,0,379774,2055974
00708L,2026-08-17,73000,0,0,1953271,2026271
2836,2026-08-17,2001000,0,0,12000,2013000
00984A,2026-08-17,1366050,0,0,624434,1990484
00401A,2026-08-17,1668600,0,0,295774,1964374
00995A,2026-08-17,1082000,0,0,782916,1864916
2633,2026-08-17,-488347,0,2318000,24028,1853681
2049,2026-08-17,1481757,0,185000,139786,1806543
