stock_code,data_date,custody_common,custody_special,custody_total,issued_shares_k
1623,2026-08-19,0,15004757,15004757,60000000
1780,2026-08-19,0,51491274,51491274,96024000
1785,2026-08-19,0,15000000,15000000,596156000
2072,2026-08-19,0,102996657,102996657,140000000
2237,2026-08-19,0,77034100,77034100,116086000
2415,2026-08-19,0,7000000,7000000,90000000
2434,2026-08-19,0,21851,21851,17000000
2646,2026-08-19,0,415711538,415711538,3008735000
2722,2026-08-19,0,34451035,34451035,143169000
3027,2026-08-19,0,1114174,1114174,100532000
3047,2026-08-19,0,255163,255163,223700000
3128,2026-08-19,0,3000000,3000000,42000000
3158,2026-08-19,0,3773885,3773885,26628000
3176,2026-08-19,0,18424251,18424251,139306000
3205,2026-08-19,0,4582090,4582090,32545000
3252,2026-08-19,0,595572,595572,50195000
3485,2026-08-19,0,10588291,10588291,34192000
4166,2026-08-19,0,117753368,117753368,223035000
4169,2026-08-19,0,13723311,13723311,59049000
4178,2026-08-19,0,84737137,84737137,192054000
4195,2026-08-19,0,12811300,12811300,72448000
4441,2026-08-19,0,7178466,7178466,60418000
4582,2026-08-19,0,36526164,36526164,66600000
4585,2026-08-19,0,60342750,60342750,80000000
4590,2026-08-19,0,9600824,9600824,51117000
4764,2026-08-19,0,4742929,4742929,85542000
4906,2026-08-19,0,4005937,4005937,427700000
5009,2026-08-19,0,62920000,62920000,602471000
5272,2026-08-19,0,395000,395000,55276000
5478,2026-08-19,0,28600000,28600000,156074000
5547,2026-08-19,0,11495372,11495372,36000000
6028,2026-08-19,0,11619453,11619453,20000000
6133,2026-08-19,0,5500000,5500000,117006000
6207,2026-08-19,0,588000,588000,79679000
6272,2026-08-19,0,8115896,8115896,72664000
6474,2026-08-19,0,5423122,5423122,46676000
6541,2026-08-19,0,47391940,47391940,164071000
6614,2026-08-19,0,24862666,24862666,72936000
6616,2026-08-19,0,13842000,13842000,35478000
6620,2026-08-19,0,14321030,14321030,141202000
6722,2026-08-19,0,30393384,30393384,78000000
6725,2026-08-19,0,10518884,10518884,33000000
6730,2026-08-19,0,8158355,8158355,32080000
6831,2026-08-19,0,10659633,10659633,60000000
6872,2026-08-19,0,10989136,10989136,62378000
6884,2026-08-19,0,5521441,5521441,16210000
6885,2026-08-19,0,5945670,5945670,131500000
6901,2026-08-19,0,536525512,536525512,850470000
6908,2026-08-19,0,25284062,25284062,35000000
6910,2026-08-19,0,5953996,5953996,26930000
6918,2026-08-19,0,5206853,5206853,30471000
6919,2026-08-19,0,73600640,73600640,153438000
6924,2026-08-19,0,4311375,4311375,20850000
6934,2026-08-19,0,12282741,12282741,30034000
6945,2026-08-19,0,48632525,48632525,84995000
6947,2026-08-19,0,61559652,61559652,94333000
6961,2026-08-19,0,4858912,4858912,23634000
6969,2026-08-19,0,5728688,5728688,38142000
6971,2026-08-19,0,10745665,10745665,35168000
6983,2026-08-19,0,10426122,10426122,15900000
6986,2026-08-19,0,20470200,20470200,46000000
6988,2026-08-19,0,5786700,5786700,48876000
7547,2026-08-19,0,9298290,9298290,29000000
7610,2026-08-19,0,8127268,8127268,34676000
7642,2026-08-19,0,11263796,11263796,26500000
7711,2026-08-19,0,18360946,18360946,62412000
7716,2026-08-19,0,7948967,7948967,20000000
7721,2026-08-19,0,7886819,7886819,45058000
7730,2026-08-19,0,8340649,8340649,28860000
7738,2026-08-19,0,3178000,3178000,24856000
7744,2026-08-19,0,8809100,8809100,28700000
7750,2026-08-19,0,9881626,9881626,65523000
7751,2026-08-19,0,3861007,3861007,24412000
7757,2026-08-19,0,5987460,5987460,21918000
7760,2026-08-19,0,20251431,20251431,48800000
7765,2026-08-19,0,17821500,17821500,36340000
7767,2026-08-19,0,3573293,3573293,26580000
7769,2026-08-19,0,35509153,35509153,161600000
7770,2026-08-19,0,7274318,7274318,27172000
7777,2026-08-19,0,43200750,43200750,167500000
7780,2026-08-19,0,279427080,279427080,60002000
7782,2026-08-19,0,8234830,8234830,21227000
7786,2026-08-19,0,45870487,45870487,156561000
7788,2026-08-19,0,14318648,14318648,72616000
7791,2026-08-19,0,26844157,26844157,70000000
7792,2026-08-19,0,14169943,14169943,42672000
7794,2026-08-19,0,16070883,16070883,25000000
7795,2026-08-19,0,24982639,24982639,70829000
7799,2026-08-19,0,67677204,67677204,139355000
7803,2026-08-19,0,57694338,57694338,88859000
7805,2026-08-19,0,8239677,8239677,29795000
7810,2026-08-19,0,4040880,4040880,18000000
7811,2026-08-19,0,19841322,19841322,30377000
7814,2026-08-19,0,30823100,30823100,40000000
8033,2026-08-19,0,2811182,2811182,142629000
8066,2026-08-19,0,200000,200000,29642000
8102,2026-08-19,0,3213121,3213121,21361000
9912,2026-08-19,0,1955757,1955757,54656000
