code,ts,price,open,high,low,volume
1560,2026-09-18 13:59:29,896,855,896,813,5528894
2069,2026-09-18 13:59:29,24.5,24.149999618530273,24.799999237060547,24.100000381469727,904154
2886,2026-09-18 13:59:29,51.099998474121094,51.900001525878906,51.900001525878906,50.099998474121094,26303856
3029,2026-09-18 13:59:29,125,116,125,116,6001755
2530,2026-09-18 13:59:29,20.799999237060547,20.700000762939453,21.049999237060547,20.25,1144506
2890,2026-09-18 13:59:29,45.25,46.04999923706055,46.04999923706055,44.79999923706055,24603605
4967,2026-09-18 13:59:29,277,274,277,272.5,1009668
2637,2026-09-18 13:59:29,102,102,103.5,100.5,1579526
3441,2026-09-18 13:59:29,185.5,185,187,177,2644309
1569,2026-09-18 13:59:29,55.5,52,57,52,4431466
6885,2026-09-18 13:59:29,31.600000381469727,29.799999237060547,31.600000381469727,29.049999237060547,1680117
3532,2026-09-18 13:59:29,447.5,457,461,438.5,5573667
1709,2026-09-18 13:59:29,39.20000076293945,41.849998474121094,42,38.70000076293945,44174169
2897,2026-09-18 13:59:29,11.100000381469727,11.300000190734863,11.300000190734863,10.949999809265137,6372562
0055,2026-09-18 13:59:29,50.150001525878906,51.400001525878906,51.400001525878906,49.45000076293945,1644234
2905,2026-09-18 13:59:29,18.450000762939453,18.75,18.75,18.149999618530273,2162517
5340,2026-09-18 13:59:29,83.0999984741211,82.69999694824219,86.19999694824219,82.5999984741211,3286743
3406,2026-09-18 13:59:29,972,996,999,955,6924546
6224,2026-09-18 13:59:29,89.19999694824219,88.80000305175781,90,87,1149220
6133,2026-09-18 13:59:29,27.450000762939453,26.049999237060547,27.700000762939453,25.5,11133309
6416,2026-09-18 13:59:29,120,119.5,121,117.5,793207
8996,2026-09-18 13:59:29,1430,1350,1430,1330,2400151
4576,2026-09-18 13:59:29,240,236,240,229,1900518
2889,2026-09-18 13:59:29,17.149999618530273,17.399999618530273,17.5,16.899999618530273,17231179
2887,2026-09-18 13:59:29,44.400001525878906,44.70000076293945,44.70000076293945,42.599998474121094,67916590
3044,2026-09-18 13:59:29,518,509,518,505,2674109
2617,2026-09-18 13:59:29,32.95000076293945,33.099998474121094,33.29999923706055,32.599998474121094,850136
1609,2026-09-18 13:59:29,38,37.95000076293945,38,37.5,2463691
2351,2026-09-18 13:59:29,241.5,241,243,235.5,3486134
0056,2026-09-18 13:59:29,56.849998474121094,57,57.099998474121094,56.349998474121094,17225003
6168,2026-09-18 13:59:29,38.849998474121094,37.150001525878906,38.849998474121094,35.849998474121094,28867419
0050,2026-09-18 13:59:29,109.8499984741211,109.5999984741211,109.94999694824219,108.8499984741211,82383476
3354,2026-09-18 13:59:29,29.200000762939453,29.350000381469727,30,29.100000381469727,709182
3491,2026-09-18 13:59:29,1565,1515,1565,1475,1263480
2845,2026-09-18 13:59:29,13.550000190734863,13.75,13.75,13.449999809265137,10304106
6214,2026-09-18 13:59:29,194.5,193.5,194.5,192,1347212
2612,2026-09-18 13:59:29,62.79999923706055,63.599998474121094,63.79999923706055,62.5,270449
1712,2026-09-18 13:59:29,40.04999923706055,39.849998474121094,40.04999923706055,39.650001525878906,341513
6173,2026-09-18 13:59:29,314,309,314,300,13195806
1303,2026-09-18 13:59:29,238,240.5,245,234,58623882
1612,2026-09-18 13:59:29,35.04999923706055,35.099998474121094,35.099998474121094,34.75,270795
3443,2026-09-18 13:59:29,7150,6600,7150,6510,2558795
4939,2026-09-18 13:59:29,78.30000305175781,78.5,79.30000305175781,77.19999694824219,3880719
4743,2026-09-18 13:59:29,44,44.650001525878906,44.95000076293945,43.900001525878906,1040803
6139,2026-09-18 13:59:29,733,706,734,706,2385380
2404,2026-09-18 13:59:29,1125,1040,1130,1040,2724895
3707,2026-09-18 13:59:29,62.900001525878906,62.599998474121094,63.29999923706055,62,2163905
3413,2026-09-18 13:59:29,285,284,286.5,281.5,572160
4128,2026-09-18 13:59:29,14.600000381469727,14.699999809265137,14.699999809265137,14.149999618530273,3756905
5534,2026-09-18 13:59:29,76.4000015258789,78.0999984741211,78.4000015258789,75.69999694824219,1197939
6919,2026-09-18 13:59:29,85.80000305175781,83.9000015258789,86,83.30000305175781,4917038
4534,2026-09-18 13:59:29,29.350000381469727,28.5,30.149999618530273,28.5,668717
4973,2026-09-18 13:59:29,139.5,140,141.5,138.5,465774
3209,2026-09-18 13:59:29,45.79999923706055,45.900001525878906,45.900001525878906,45.45000076293945,391447
2401,2026-09-18 13:59:29,25.450000762939453,25,25.649999618530273,24.75,2604526
4746,2026-09-18 13:59:29,47.849998474121094,47.70000076293945,48.29999923706055,47.349998474121094,733399
2406,2026-09-18 13:59:29,27.649999618530273,27.100000381469727,28.049999237060547,26.549999237060547,3817466
3293,2026-09-18 13:59:29,729,725,729,714,1179281
2014,2026-09-18 13:59:29,16.549999237060547,16.549999237060547,16.649999618530273,16.450000762939453,1080713
3059,2026-09-18 13:59:29,38.150001525878906,38.5,38.54999923706055,38.04999923706055,778897
4532,2026-09-18 13:59:29,24.649999618530273,25.149999618530273,25.149999618530273,24.649999618530273,1305788
1216,2026-09-18 13:59:29,75,75.5,75.5,74.9000015258789,7315166
2105,2026-09-18 13:59:29,30,30.299999237060547,30.299999237060547,30,3112073
2501,2026-09-18 13:59:29,21.799999237060547,22.549999237060547,22.850000381469727,21.549999237060547,4563291
6174,2026-09-18 13:59:29,44.95000076293945,44.45000076293945,44.95000076293945,44.349998474121094,340271
2345,2026-09-18 13:59:29,1855,1810,1855,1810,4662701
3675,2026-09-18 13:59:29,294,291,300,287,1344175
4989,2026-09-18 13:59:29,61,60.900001525878906,61.79999923706055,60.29999923706055,1586992
5471,2026-09-18 13:59:29,52.099998474121094,51.599998474121094,52.400001525878906,50.900001525878906,803204
2302,2026-09-18 13:59:29,44.400001525878906,44.54999923706055,45.25,43.900001525878906,3216731
3357,2026-09-18 13:59:29,207.5,203,207.5,201.5,407226
6202,2026-09-18 13:59:29,55.79999923706055,55.099998474121094,56.79999923706055,54.70000076293945,1105909
6186,2026-09-18 13:59:29,29.950000762939453,30.700000762939453,31.299999237060547,29.950000762939453,1886795
1708,2026-09-18 13:59:29,50.70000076293945,51.5,51.5,50.400001525878906,2078673
6901,2026-09-18 13:59:29,15.449999809265137,15.5,15.5,15.199999809265137,633232
1789,2026-09-18 13:59:29,19,19.399999618530273,19.399999618530273,18.799999237060547,819090
3596,2026-09-18 13:59:29,155.5,155.5,157,154,560392
8422,2026-09-18 13:59:29,26.549999237060547,26.049999237060547,26.549999237060547,25.850000381469727,3662528
7780,2026-09-18 13:59:29,16.399999618530273,16.200000762939453,16.399999618530273,16.149999618530273,441298
2106,2026-09-18 13:59:29,16.399999618530273,16.549999237060547,16.700000762939453,16.399999618530273,705565
4919,2026-09-18 13:59:29,126.5,118,126.5,117,6623164
2375,2026-09-18 13:59:29,119.5,120.5,120.5,118,1164413
5328,2026-09-18 13:59:29,53.099998474121094,53.400001525878906,53.5,52.29999923706055,1530995
1785,2026-09-18 13:59:29,96.80000305175781,97.0999984741211,97.69999694824219,95.5,3623482
6488,2026-09-18 13:59:29,944,925,960,901,14405436
2458,2026-09-18 13:59:29,132,130.5,132.5,128.5,1285590
6182,2026-09-18 13:59:29,116,114.5,116.5,111,59281392
8131,2026-09-18 13:59:29,61.29999923706055,60.20000076293945,61.400001525878906,60.20000076293945,1817958
6215,2026-09-18 13:59:29,98.69999694824219,99.5999984741211,99.69999694824219,97.5,224069
6175,2026-09-18 13:59:29,69.69999694824219,70,70.4000015258789,69.5999984741211,404992
5483,2026-09-18 13:59:29,187.5,187,190,180.5,16649168
1809,2026-09-18 13:59:29,38.599998474121094,38,39.099998474121094,37.5,2250392
3028,2026-09-18 13:59:29,61.79999923706055,61.29999923706055,62,61.29999923706055,508857
2425,2026-09-18 13:59:29,37,37,37,36.25,288058
6156,2026-09-18 13:59:29,20.649999618530273,20.700000762939453,20.850000381469727,20.5,368857
2539,2026-09-18 13:59:29,36.099998474121094,35.900001525878906,36.099998474121094,35.150001525878906,924852
1616,2026-09-18 13:59:29,18.5,18.450000762939453,18.600000381469727,18.299999237060547,235796
1227,2026-09-18 13:59:29,28.450000762939453,28.200000762939453,28.549999237060547,28.149999618530273,644097
2605,2026-09-18 13:59:29,36.099998474121094,37.150001525878906,37.599998474121094,36.099998474121094,6174481
6285,2026-09-18 13:59:29,227.5,229,230.5,227,2501378
6120,2026-09-18 13:59:29,12.350000381469727,12.449999809265137,12.5,12.199999809265137,1658090
8070,2026-09-18 13:59:29,50.70000076293945,50.599998474121094,50.70000076293945,49.900001525878906,1420103
4123,2026-09-18 13:59:29,30.899999618530273,30.799999237060547,30.899999618530273,30.450000762939453,995998
3346,2026-09-18 13:59:29,22.299999237060547,22.299999237060547,22.299999237060547,22.299999237060547,461847
6881,2026-09-18 13:59:29,215,214,216,214,7279
3296,2026-09-18 13:59:29,28.299999237060547,25.700000762939453,28.299999237060547,25.549999237060547,366649
6690,2026-09-18 13:59:29,186.5,179,190,178.5,530845
6148,2026-09-18 13:59:29,39.849998474121094,36.25,39.849998474121094,35.900001525878906,8848556
6689,2026-09-18 13:59:29,66.80000305175781,66.19999694824219,68.4000015258789,65.5,917438
1558,2026-09-18 13:59:29,111,109,111,109,51257
1528,2026-09-18 13:59:29,24.600000381469727,24.100000381469727,24.700000762939453,23.600000381469727,6682236
2444,2026-09-18 13:59:29,12.600000381469727,12.550000190734863,12.75,12.199999809265137,927530
2428,2026-09-18 13:59:29,260,258,260,254.5,736740
6870,2026-09-18 13:59:29,312,327.5,327.5,312,51533
6706,2026-09-18 13:59:29,149.5,146,150,142.5,5216807
6925,2026-09-18 13:59:29,59.900001525878906,56.79999923706055,62.29999923706055,56.79999923706055,598016
6909,2026-09-18 13:59:29,42.150001525878906,42.20000076293945,42.20000076293945,41.400001525878906,213963
3311,2026-09-18 13:59:29,38.70000076293945,37,38.79999923706055,36.75,1321775
5212,2026-09-18 13:59:29,48.599998474121094,47.400001525878906,48.650001525878906,47.400001525878906,32921
5543,2026-09-18 13:59:29,26.5,28.149999618530273,28.149999618530273,26.5,15292
4138,2026-09-18 13:59:29,53.900001525878906,53.900001525878906,54,53.70000076293945,5084
2468,2026-09-18 13:59:29,45.849998474121094,41.70000076293945,45.849998474121094,41.20000076293945,12006748
4545,2026-09-18 13:59:29,33.5,33.20000076293945,33.5,33.04999923706055,65689
6142,2026-09-18 13:59:29,8.84000015258789,9,9,8.84000015258789,241700
6112,2026-09-18 13:59:29,52.099998474121094,48.79999923706055,53.099998474121094,48.5,8460289
6150,2026-09-18 13:59:29,61.29999923706055,62.79999923706055,62.79999923706055,61.29999923706055,122625
5703,2026-09-18 13:59:29,13.699999809265137,13.75,13.75,13.699999809265137,10000
1474,2026-09-18 13:59:29,10.050000190734863,10.100000381469727,10.100000381469727,9.90999984741211,40933
6605,2026-09-18 13:59:29,139,136.5,140,135.5,451691
2208,2026-09-18 13:59:29,19.149999618530273,19.049999237060547,19.149999618530273,19,1222221
4585,2026-09-18 13:59:29,303,301,303,300,164052
6225,2026-09-18 13:59:29,60,62.79999923706055,62.79999923706055,60,108964
2426,2026-09-18 13:59:29,102,98.19999694824219,102,96.5,47459688
3234,2026-09-18 13:59:29,180,178.5,185,175,2504919
3006,2026-09-18 13:59:29,291,290,296.5,285,10872881
3374,2026-09-18 13:59:29,444.5,440,444.5,418.5,11993153
3229,2026-09-18 13:59:29,64.4000015258789,59.5,64.4000015258789,59.29999923706055,3734506
6141,2026-09-18 13:59:29,49.849998474121094,50,50.79999923706055,49.04999923706055,1440587
2221,2026-09-18 13:59:29,127.5,124,127.5,119,11955566
2454,2026-09-18 13:59:29,4710,4600,4735,4545,7709320
5321,2026-09-18 13:59:29,72,70.5999984741211,73.69999694824219,70.30000305175781,348036
6426,2026-09-18 13:59:29,373.5,381.5,385,365,6575889
3498,2026-09-18 13:59:29,195,185.5,200,183,2303262
4908,2026-09-18 13:59:29,243.5,240,248.5,232.5,6948408
6933,2026-09-18 13:59:29,342,355,360.5,332,3138749
