stock_code,stock_name,market,direction,close,score,today_pct,reason_codes,reasons
2033,佳大,TWSE,做多,30.85,8,9.98,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|MACD_BULLISH|VOLUME_BREAKOUT_RED|PULLBACK_REBOUND|RS_STRONG,四線多排（5日均線27.89 > 10日27.15 > 20日25.57 > 60日19.81，向上排列）；股價站上月線（收盤30.85 > 20日均線25.57）；KD黃金交叉且未過熱（K=70.29，D=63.09，K<80）；MACD多頭（DIF=2.2 > MACD=2.08，且DIF>0）；放量紅K（今日量為5日均量的1.9倍，收盤30.85 > 開盤27.95）；回後買上漲（拉回低點25未跌破前段低點23.4的99%，收盤30.85 > 5日均線27.89）；RS轉強（相對大盤RS評分由92轉強至93，領先大盤）
6291,沛亨,TPEx,做多,519.0,8,5.81,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|MACD_BULLISH|VOLUME_BREAKOUT_RED|PULLBACK_REBOUND|RS_STRONG,四線多排（5日均線480 > 10日473.75 > 20日441 > 60日424.38，向上排列）；股價站上月線（收盤519 > 20日均線441）；KD黃金交叉且未過熱（K=66.35，D=64.68，K<80）；MACD多頭（DIF=24.73 > MACD=18.57，且DIF>0）；放量紅K（今日量為5日均量的2.08倍，收盤519 > 開盤494.5）；回後買上漲（拉回低點440未跌破前段低點388的99%，收盤519 > 5日均線480）；RS轉強（相對大盤RS評分由93轉強至94，領先大盤）
6617,共信-KY,TPEx,做多,143.0,8,3.62,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|MACD_BULLISH|VOLUME_BREAKOUT_RED|PULLBACK_REBOUND|RS_STRONG,四線多排（5日均線132.4 > 10日131.6 > 20日125.22 > 60日104.13，向上排列）；股價站上月線（收盤143 > 20日均線125.22）；KD黃金交叉且未過熱（K=62.55，D=58.19，K<80）；MACD多頭（DIF=8.88 > MACD=8.45，且DIF>0）；放量紅K（今日量為5日均量的2.36倍，收盤143 > 開盤138）；回後買上漲（拉回低點125.5未跌破前段低點113的99%，收盤143 > 5日均線132.4）；RS轉強（相對大盤RS評分由91轉強至94，領先大盤）
8103,瀚荃,TWSE,做多,132.0,7,10.0,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|VOLUME_BREAKOUT_RED|PULLBACK_REBOUND|RS_STRONG,四線多排（5日均線118.4 > 10日118.05 > 20日114.98 > 60日94.7，向上排列）；股價站上月線（收盤132 > 20日均線114.98）；KD黃金交叉且未過熱（K=60.01，D=47.42，K<80）；放量紅K（今日量為5日均量的2.13倍，收盤132 > 開盤120）；回後買上漲（拉回低點108.5未跌破前段低點107.5的99%，收盤132 > 5日均線118.4）；RS轉強（相對大盤RS評分由86轉強至88，領先大盤）
1560,中砂,TWSE,做多,815.0,7,9.99,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|MACD_HIST_REGROW|VOLUME_BREAKOUT_RED|PULLBACK_REBOUND,四線多排（5日均線766.8 > 10日743.9 > 20日719.2 > 60日704.22，向上排列）；股價站上月線（收盤815 > 20日均線719.2）；KD黃金交叉且未過熱（K=74.01，D=69.07，K<80）；MACD紅柱由縮轉長（動能重新加溫，DIF=20.51，柱狀體3.39→7.11）；放量紅K（今日量為5日均量的1.31倍，收盤815 > 開盤750）；回後買上漲（拉回低點713未跌破前段低點663的99%，收盤815 > 5日均線766.8）
6168,宏齊,TWSE,做多,35.35,7,9.95,MA_BULLISH|ABOVE_MA20|MACD_BULLISH|VOLUME_BREAKOUT_RED|PULLBACK_REBOUND|RS_STRONG,四線多排（5日均線31.23 > 10日30.25 > 20日29.07 > 60日26.92，向上排列）；股價站上月線（收盤35.35 > 20日均線29.07）；MACD多頭（DIF=1.61 > MACD=1.14，且DIF>0）；放量紅K（今日量為5日均量的2.46倍，收盤35.35 > 開盤32.15）；回後買上漲（拉回低點28.5未跌破前段低點27.5的99%，收盤35.35 > 5日均線31.23）；RS轉強（相對大盤RS評分由82轉強至86，領先大盤）
1710,東聯,TWSE,做多,16.65,7,6.05,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|MACD_HIST_REGROW|VOLUME_BREAKOUT_RED|PULLBACK_REBOUND,四線多排（5日均線16.02 > 10日15.97 > 20日15.96 > 60日15.7，向上排列）；股價站上月線（收盤16.65 > 20日均線15.96）；KD黃金交叉且未過熱（K=49.37，D=42.69，K<80）；MACD紅柱由縮轉長（動能重新加溫，DIF=0.23，柱狀體-0.06→-0）；放量紅K（今日量為5日均量的2.12倍，收盤16.65 > 開盤15.85）；回後買上漲（拉回低點15.45未跌破前段低點15.55的99%，收盤16.65 > 5日均線16.02）
3094,聯傑,TWSE,做多,46.75,7,4.94,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|MACD_BULLISH|VOLUME_BREAKOUT_RED|PULLBACK_REBOUND,四線多排（5日均線43.69 > 10日43.37 > 20日41.4 > 60日38.76，向上排列）；股價站上月線（收盤46.75 > 20日均線41.4）；KD黃金交叉且未過熱（K=41.56，D=37.06，K<80）；MACD多頭（DIF=1.81 > MACD=1.51，且DIF>0）；放量紅K（今日量為5日均量的1.65倍，收盤46.75 > 開盤44.55）；回後買上漲（拉回低點40.3未跌破前段低點38.05的99%，收盤46.75 > 5日均線43.69）
6227,茂綸,TPEx,做多,137.0,7,3.01,MA_BULLISH|ABOVE_MA20|MACD_BULLISH|VOLUME_BREAKOUT_RED|PULLBACK_REBOUND|RS_STRONG,四線多排（5日均線131.4 > 10日122.7 > 20日119.6 > 60日118.59，向上排列）；股價站上月線（收盤137 > 20日均線119.6）；MACD多頭（DIF=3.4 > MACD=0.92，且DIF>0）；放量紅K（今日量為5日均量的1.26倍，收盤137 > 開盤132.5）；回後買上漲（拉回低點111.5未跌破前段低點108的99%，收盤137 > 5日均線131.4）；RS轉強（相對大盤RS評分由82轉強至86，領先大盤）
2419,仲琦,TWSE,做多,27.9,7,2.01,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|MACD_BULLISH|VOLUME_BREAKOUT_RED|PULLBACK_REBOUND,四線多排（5日均線27.13 > 10日27.05 > 20日26.27 > 60日25.95，向上排列）；股價站上月線（收盤27.9 > 20日均線26.27）；KD黃金交叉且未過熱（K=54.91，D=44.31，K<80）；MACD多頭（DIF=0.56 > MACD=0.43，且DIF>0）；放量紅K（今日量為5日均量的1.5倍，收盤27.9 > 開盤27.6）；回後買上漲（拉回低點26.55未跌破前段低點24.9的99%，收盤27.9 > 5日均線27.13）
