stock_code,stock_name,market,direction,close,score,today_pct,reason_codes,reasons
1560,中砂,TWSE,做多,815.0,8,9.99,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|MACD_HIST_REGROW|VOLUME_BREAKOUT_RED|PULLBACK_REBOUND|RS_STRONG,四線多排（5日均線766.8 > 10日743.9 > 20日719.2 > 60日704.22，向上排列）；股價站上月線（收盤815 > 20日均線719.2）；KD黃金交叉且未過熱（K=74.01，D=69.07，K<80）；MACD紅柱由縮轉長（動能重新加溫，DIF=20.59，柱狀體3.35→7.08）；放量紅K（今日量為5日均量的1.49倍，收盤815 > 開盤750）；回後買上漲（拉回低點713未跌破前段低點663的99%，收盤815 > 5日均線766.8）；RS轉強（相對大盤RS評分由92轉強至93，領先大盤）
2033,佳大,TWSE,做多,30.85,8,9.98,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|MACD_BULLISH|VOLUME_BREAKOUT_RED|PULLBACK_REBOUND|RS_STRONG,四線多排（5日均線27.89 > 10日27.15 > 20日25.57 > 60日19.81，向上排列）；股價站上月線（收盤30.85 > 20日均線25.57）；KD黃金交叉且未過熱（K=70.29，D=63.09，K<80）；MACD多頭（DIF=2.2 > MACD=2.08，且DIF>0）；放量紅K（今日量為5日均量的2.01倍，收盤30.85 > 開盤27.95）；回後買上漲（拉回低點25未跌破前段低點23.4的99%，收盤30.85 > 5日均線27.89）；RS轉強（相對大盤RS評分由92轉強至94，領先大盤）
1710,東聯,TWSE,做多,16.65,8,6.05,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|MACD_HIST_REGROW|VOLUME_BREAKOUT_RED|PULLBACK_REBOUND|RS_STRONG,四線多排（5日均線16.02 > 10日15.97 > 20日15.96 > 60日15.7，向上排列）；股價站上月線（收盤16.65 > 20日均線15.96）；KD黃金交叉且未過熱（K=49.37，D=42.69，K<80）；MACD紅柱由縮轉長（動能重新加溫，DIF=0.23，柱狀體-0.05→-0）；放量紅K（今日量為5日均量的2.21倍，收盤16.65 > 開盤15.85）；回後買上漲（拉回低點15.45未跌破前段低點15.55的99%，收盤16.65 > 5日均線16.02）；RS轉強（相對大盤RS評分由80轉強至81，領先大盤）
3094,聯傑,TWSE,做多,47.0,8,5.5,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|MACD_BULLISH|VOLUME_BREAKOUT_RED|PULLBACK_REBOUND|RS_STRONG,四線多排（5日均線43.74 > 10日43.4 > 20日41.41 > 60日38.77，向上排列）；股價站上月線（收盤47 > 20日均線41.41）；KD黃金交叉且未過熱（K=42.35，D=37.32，K<80）；MACD多頭（DIF=1.83 > MACD=1.52，且DIF>0）；放量紅K（今日量為5日均量的1.8倍，收盤47 > 開盤44.55）；回後買上漲（拉回低點40.3未跌破前段低點38.05的99%，收盤47 > 5日均線43.74）；RS轉強（相對大盤RS評分由90轉強至91，領先大盤）
6291,沛亨,TPEx,做多,517.0,8,5.4,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|MACD_BULLISH|VOLUME_BREAKOUT_RED|PULLBACK_REBOUND|RS_STRONG,四線多排（5日均線479.6 > 10日473.55 > 20日440.9 > 60日424.34，向上排列）；股價站上月線（收盤517 > 20日均線440.9）；KD黃金交叉且未過熱（K=65.68，D=64.46，K<80）；MACD多頭（DIF=24.62 > MACD=18.62，且DIF>0）；放量紅K（今日量為5日均量的2.24倍，收盤517 > 開盤494.5）；回後買上漲（拉回低點440未跌破前段低點388的99%，收盤517 > 5日均線479.6）；RS轉強（相對大盤RS評分由93轉強至94，領先大盤）
6617,共信-KY,TPEx,做多,143.0,8,3.62,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|MACD_BULLISH|VOLUME_BREAKOUT_RED|PULLBACK_REBOUND|RS_STRONG,四線多排（5日均線132.4 > 10日131.6 > 20日125.22 > 60日104.13，向上排列）；股價站上月線（收盤143 > 20日均線125.22）；KD黃金交叉且未過熱（K=62.55，D=58.19，K<80）；MACD多頭（DIF=8.88 > MACD=8.45，且DIF>0）；放量紅K（今日量為5日均量的2.55倍，收盤143 > 開盤138）；回後買上漲（拉回低點125.5未跌破前段低點113的99%，收盤143 > 5日均線132.4）；RS轉強（相對大盤RS評分由92轉強至94，領先大盤）
6026,福邦證,TPEx,做多,15.5,8,1.64,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|MACD_BULLISH|VOLUME_BREAKOUT_RED|PULLBACK_REBOUND|RS_STRONG,四線多排（5日均線15.22 > 10日15.22 > 20日15.08 > 60日14.87，向上排列）；股價站上月線（收盤15.5 > 20日均線15.08）；KD黃金交叉且未過熱（K=56.17，D=52.24，K<80）；MACD多頭（DIF=0.16 > MACD=0.14，且DIF>0）；放量紅K（今日量為5日均量的1.69倍，收盤15.5 > 開盤15.3）；回後買上漲（拉回低點15未跌破前段低點14.85的99%，收盤15.5 > 5日均線15.22）；RS轉強（相對大盤RS評分由70轉強至72，領先大盤）
8103,瀚荃,TWSE,做多,132.0,7,10.0,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|VOLUME_BREAKOUT_RED|PULLBACK_REBOUND|RS_STRONG,四線多排（5日均線118.4 > 10日118.05 > 20日114.98 > 60日94.7，向上排列）；股價站上月線（收盤132 > 20日均線114.98）；KD黃金交叉且未過熱（K=60.01，D=47.42，K<80）；放量紅K（今日量為5日均量的2.16倍，收盤132 > 開盤120）；回後買上漲（拉回低點108.5未跌破前段低點107.5的99%，收盤132 > 5日均線118.4）；RS轉強（相對大盤RS評分由87轉強至91，領先大盤）
6168,宏齊,TWSE,做多,35.35,7,9.95,MA_BULLISH|ABOVE_MA20|MACD_BULLISH|VOLUME_BREAKOUT_RED|PULLBACK_REBOUND|RS_STRONG,四線多排（5日均線31.23 > 10日30.25 > 20日29.07 > 60日26.92，向上排列）；股價站上月線（收盤35.35 > 20日均線29.07）；MACD多頭（DIF=1.61 > MACD=1.14，且DIF>0）；放量紅K（今日量為5日均量的2.53倍，收盤35.35 > 開盤32.15）；回後買上漲（拉回低點28.5未跌破前段低點27.5的99%，收盤35.35 > 5日均線31.23）；RS轉強（相對大盤RS評分由80轉強至88，領先大盤）
6885,全福生技,TWSE,做多,29.5,7,8.46,MA_BULLISH|ABOVE_MA20|MACD_HIST_REGROW|VOLUME_BREAKOUT_RED|PULLBACK_REBOUND|RS_STRONG,四線多排（5日均線27.6 > 10日26.55 > 20日24.53 > 60日22.19，向上排列）；股價站上月線（收盤29.5 > 20日均線24.53）；MACD紅柱由縮轉長（動能重新加溫，DIF=1.74，柱狀體0.32→0.41）；放量紅K（今日量為5日均量的1.72倍，收盤29.5 > 開盤27.2）；回後買上漲（拉回低點25.05未跌破前段低點22.15的99%，收盤29.5 > 5日均線27.6）；RS轉強（相對大盤RS評分由64轉強至77，領先大盤）
