stock_code,stock_name,market,direction,close,score,today_pct,reason_codes,reasons
1560,中砂,TWSE,做多,815.0,8,9.99,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|MACD_HIST_REGROW|VOLUME_BREAKOUT_RED|PULLBACK_REBOUND|RS_STRONG,四線多排（5日均線766.8 > 10日743.9 > 20日719.2 > 60日704.22，向上排列）；股價站上月線（收盤815 > 20日均線719.2）；KD黃金交叉且未過熱（K=74.01，D=69.07，K<80）；MACD紅柱由縮轉長（動能重新加溫，DIF=20.59，柱狀體3.35→7.08）；放量紅K（今日量為5日均量的1.26倍，收盤815 > 開盤750）；回後買上漲（拉回低點713未跌破前段低點663的99%，收盤815 > 5日均線766.8）；RS轉強（相對大盤RS評分由92轉強至93，領先大盤）
2033,佳大,TWSE,做多,29.65,8,5.7,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|MACD_BULLISH|VOLUME_BREAKOUT_RED|PULLBACK_REBOUND|RS_STRONG,四線多排（5日均線27.65 > 10日27.03 > 20日25.51 > 60日19.79，向上排列）；股價站上月線（收盤29.65 > 20日均線25.51）；KD黃金交叉且未過熱（K=68.58，D=62.53，K<80）；MACD多頭（DIF=2.1 > MACD=2.06，且DIF>0）；放量紅K（今日量為5日均量的1.49倍，收盤29.65 > 開盤27.95）；回後買上漲（拉回低點25未跌破前段低點23.4的99%，收盤29.65 > 5日均線27.65）；RS轉強（相對大盤RS評分由92轉強至93，領先大盤）
3094,聯傑,TWSE,做多,46.3,8,3.93,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|MACD_BULLISH|VOLUME_BREAKOUT_RED|PULLBACK_REBOUND|RS_STRONG,四線多排（5日均線43.6 > 10日43.33 > 20日41.38 > 60日38.76，向上排列）；股價站上月線（收盤46.3 > 20日均線41.38）；KD黃金交叉且未過熱（K=40.13，D=36.58，K<80）；MACD多頭（DIF=1.78 > MACD=1.5，且DIF>0）；放量紅K（今日量為5日均量的1.4倍，收盤46.3 > 開盤44.55）；回後買上漲（拉回低點40.3未跌破前段低點38.05的99%，收盤46.3 > 5日均線43.6）；RS轉強（相對大盤RS評分由90轉強至91，領先大盤）
6617,共信-KY,TPEx,做多,142.0,8,2.9,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|MACD_BULLISH|VOLUME_BREAKOUT_RED|PULLBACK_REBOUND|RS_STRONG,四線多排（5日均線132.2 > 10日131.5 > 20日125.17 > 60日104.11，向上排列）；股價站上月線（收盤142 > 20日均線125.17）；KD黃金交叉且未過熱（K=61.13，D=57.72，K<80）；MACD多頭（DIF=8.8 > MACD=8.43，且DIF>0）；放量紅K（今日量為5日均量的2.24倍，收盤142 > 開盤138）；回後買上漲（拉回低點125.5未跌破前段低點113的99%，收盤142 > 5日均線132.2）；RS轉強（相對大盤RS評分由92轉強至94，領先大盤）
6026,福邦證,TPEx,做多,15.55,8,1.97,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|MACD_BULLISH|VOLUME_BREAKOUT_RED|PULLBACK_REBOUND|RS_STRONG,四線多排（5日均線15.23 > 10日15.22 > 20日15.08 > 60日14.87，向上排列）；股價站上月線（收盤15.55 > 20日均線15.08）；KD黃金交叉且未過熱（K=61.72，D=54.09，K<80）；MACD多頭（DIF=0.17 > MACD=0.14，且DIF>0）；放量紅K（今日量為5日均量的1.34倍，收盤15.55 > 開盤15.3）；回後買上漲（拉回低點15未跌破前段低點14.85的99%，收盤15.55 > 5日均線15.23）；RS轉強（相對大盤RS評分由70轉強至71，領先大盤）
8103,瀚荃,TWSE,做多,132.0,7,10.0,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|VOLUME_BREAKOUT_RED|PULLBACK_REBOUND|RS_STRONG,四線多排（5日均線118.4 > 10日118.05 > 20日114.98 > 60日94.7，向上排列）；股價站上月線（收盤132 > 20日均線114.98）；KD黃金交叉且未過熱（K=60.01，D=47.42，K<80）；放量紅K（今日量為5日均量的2.09倍，收盤132 > 開盤120）；回後買上漲（拉回低點108.5未跌破前段低點107.5的99%，收盤132 > 5日均線118.4）；RS轉強（相對大盤RS評分由87轉強至91，領先大盤）
6168,宏齊,TWSE,做多,35.35,7,9.95,MA_BULLISH|ABOVE_MA20|MACD_BULLISH|VOLUME_BREAKOUT_RED|PULLBACK_REBOUND|RS_STRONG,四線多排（5日均線31.23 > 10日30.25 > 20日29.07 > 60日26.92，向上排列）；股價站上月線（收盤35.35 > 20日均線29.07）；MACD多頭（DIF=1.61 > MACD=1.14，且DIF>0）；放量紅K（今日量為5日均量的2.47倍，收盤35.35 > 開盤32.15）；回後買上漲（拉回低點28.5未跌破前段低點27.5的99%，收盤35.35 > 5日均線31.23）；RS轉強（相對大盤RS評分由80轉強至88，領先大盤）
6291,沛亨,TPEx,做多,515.0,7,4.99,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|MACD_BULLISH|VOLUME_BREAKOUT_RED|PULLBACK_REBOUND,四線多排（5日均線479.2 > 10日473.35 > 20日440.8 > 60日424.31，向上排列）；股價站上月線（收盤515 > 20日均線440.8）；KD黃金交叉且未過熱（K=65，D=64.23，K<80）；MACD多頭（DIF=24.46 > MACD=18.59，且DIF>0）；放量紅K（今日量為5日均量的2倍，收盤515 > 開盤494.5）；回後買上漲（拉回低點440未跌破前段低點388的99%，收盤515 > 5日均線479.2）
7717,萊德光電-KY,TPEx,做多,552.0,7,4.74,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|MACD_BULLISH|VOLUME_BREAKOUT_RED|PULLBACK_REBOUND,四線多排（5日均線512.5 > 10日496.75 > 20日456.18 > 60日438.05，向上排列）；股價站上月線（收盤552 > 20日均線456.18）；KD黃金交叉且未過熱（K=75.94，D=73.86，K<80）；MACD多頭（DIF=25.33 > MACD=15.29，且DIF>0）；放量紅K（今日量為5日均量的1.69倍，收盤552 > 開盤544）；回後買上漲（拉回低點456未跌破前段低點409的99%，收盤552 > 5日均線512.5）
1313,聯成,TWSE,做多,12.4,7,3.77,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|MACD_BULLISH|VOLUME_BREAKOUT_RED|PULLBACK_REBOUND,四線多排（5日均線11.97 > 10日11.93 > 20日11.93 > 60日11.92，向上排列）；股價站上月線（收盤12.4 > 20日均線11.93）；KD黃金交叉且未過熱（K=53.83，D=36.72，K<80）；MACD多頭（DIF=0.09 > MACD=0.08，且DIF>0）；放量紅K（今日量為5日均量的1.9倍，收盤12.4 > 開盤12）；回後買上漲（拉回低點11.65未跌破前段低點11.7的99%，收盤12.4 > 5日均線11.97）
2006,東和鋼鐵,TWSE,做多,83.0,7,2.34,MA_BULLISH|ABOVE_MA20|KD_GOLDEN_CROSS|MACD_HIST_REGROW|VOLUME_BREAKOUT_RED|PULLBACK_REBOUND,四線多排（5日均線81.92 > 10日81.71 > 20日81.7 > 60日77.2，向上排列）；股價站上月線（收盤83 > 20日均線81.7）；KD黃金交叉且未過熱（K=55.41，D=49.12，K<80）；MACD紅柱由縮轉長（動能重新加溫，DIF=0.68，柱狀體-0.34→-0.21）；放量紅K（今日量為5日均量的1.5倍，收盤83 > 開盤82.1）；回後買上漲（拉回低點80.6未跌破前段低點79.5的99%，收盤83 > 5日均線81.92）
2354,鴻準,TWSE,做多,66.6,7,2.15,MA_BULLISH|ABOVE_MA20|MACD_HIST_REGROW|VOLUME_BREAKOUT_RED|PULLBACK_REBOUND|RS_STRONG,四線多排（5日均線65.36 > 10日65.21 > 20日64.18 > 60日59.67，向上排列）；股價站上月線（收盤66.6 > 20日均線64.18）；MACD紅柱由縮轉長（動能重新加溫，DIF=1.41，柱狀體-0.18→-0.1）；放量紅K（今日量為5日均量的1.64倍，收盤66.6 > 開盤65.9）；回後買上漲（拉回低點63.3未跌破前段低點62.6的99%，收盤66.6 > 5日均線65.36）；RS轉強（相對大盤RS評分由71轉強至72，領先大盤）
2221,大甲,TPEx,做多,116.0,6,9.95,MA_BULLISH|ABOVE_MA20|MACD_BULLISH|PULLBACK_REBOUND|RS_STRONG,四線多排（5日均線100.58 > 10日95.05 > 20日84.64 > 60日60.9，向上排列）；股價站上月線（收盤116 > 20日均線84.64）；MACD多頭（DIF=12.43 > MACD=10.5，且DIF>0）；回後買上漲（拉回低點85.5未跌破前段低點71.9的99%，收盤116 > 5日均線100.58）；RS轉強（相對大盤RS評分由98轉強至99，領先大盤）
6179,亞通,TPEx,做多,41.45,6,9.95,MA_BULLISH|ABOVE_MA20|MACD_BULLISH|PULLBACK_REBOUND|RS_STRONG,四線多排（5日均線36.83 > 10日35.16 > 20日31.94 > 60日28.15，向上排列）；股價站上月線（收盤41.45 > 20日均線31.94）；MACD多頭（DIF=2.91 > MACD=2.11，且DIF>0）；回後買上漲（拉回低點29.4未跌破前段低點27.85的99%，收盤41.45 > 5日均線36.83）；RS轉強（相對大盤RS評分由83轉強至89，領先大盤）
